#time =  3.8000250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  1.0000000E+00
  1.110223025E-15  9.840576869E-13  1.999143934E-14  4.920044649E-13  6.651294592E-20  5.521014957E-15 -3.838813230E-19  6.278318463E-20  1.357397691E-18 -1.069466581E-19
  2.315738055E-04  2.052578431E-01  8.340253131E-03  2.052599470E-01  2.931938353E-07  2.303233586E-03  7.163450040E-03  1.866301038E-07  2.797281034E-03 -7.443376594E-06
  4.719096756E-04  4.182820329E-01  1.699625745E-02  4.182907698E-01  1.197906256E-06  4.693438498E-03  2.964466524E-02  2.527266211E-06  1.110299210E-02 -6.280316562E-05
  7.213386952E-04  6.393660302E-01  2.597921447E-02  6.393681462E-01  2.823047612E-06  7.173522910E-03  6.904618912E-02  1.253156556E-05  2.476762686E-02 -2.267468294E-04
  9.802044256E-04  8.688143538E-01  3.530005316E-02  8.687610468E-01  5.274632176E-06  9.746196685E-03  1.271214163E-01  3.964366691E-05  4.361122677E-02 -5.762743498E-04
  1.248863372E-03  1.106942996E+00  4.496917385E-02  1.106725431E+00  8.670041525E-06  1.241392714E-02  2.057596699E-01  9.750237171E-05  6.742202900E-02 -1.206689725E-03
  1.527685466E-03  1.354079849E+00  5.499613390E-02  1.353496513E+00  1.315109489E-05  1.517890551E-02  3.069577081E-01  2.041278924E-04  9.595543569E-02 -2.233260720E-03
  1.817054573E-03  1.610565157E+00  6.538927086E-02  1.609279486E+00  1.889375203E-05  1.804302911E-02  4.327741113E-01  3.820316215E-04  1.289336378E-01 -3.792332165E-03
  2.117369010E-03  1.876751971E+00  7.615526081E-02  1.874238653E+00  2.611247259E-05  2.100790283E-02  5.852629773E-01  6.582506871E-04  1.660463000E-01 -6.041608750E-03
  2.429042085E-03  2.153006632E+00  8.729861389E-02  2.148485013E+00  3.505841544E-05  2.407486070E-02  7.663838406E-01  1.064313187E-03  2.069527270E-01 -9.159288519E-03
  2.752502662E-03  2.439709268E+00  9.882111481E-02  2.432062489E+00  4.601353269E-05  2.724500161E-02  9.778861501E-01  1.636139789E-03  2.512858240E-01 -1.334172899E-02
  3.088195738E-03  2.737254306E+00  1.107212250E-01  2.724933214E+00  5.928835033E-05  3.051922114E-02  1.221169575E+00  2.413877333E-03  2.986578164E-01 -1.879939830E-02
  3.436583048E-03  3.046051010E+00  1.229934750E-01  3.026962583E+00  7.524157871E-05  3.389820135E-02  1.497126860E+00  3.441631160E-03  3.486669446E-01 -2.575105855E-02
  3.798143689E-03  3.366524032E+00  1.356278669E-01  3.337904538E+00  9.437285036E-05  3.738231492E-02  1.805985467E+00  4.767022500E-03  4.009037525E-01 -3.441650707E-02
  4.173374766E-03  3.699113987E+00  1.486093015E-01  3.657387475E+00  1.172505012E-04  4.097151679E-02  2.147115552E+00  6.440678501E-03  4.549624603E-01 -4.500611936E-02
  4.562792067E-03  4.044278049E+00  1.619171982E-01  3.984904893E+00  1.444443839E-04  4.466513778E-02  2.518963683E+00  8.515933186E-03  5.104446566E-01 -5.771195830E-02
  4.966930756E-03  4.402490565E+00  1.755251086E-01  4.319805877E+00  1.766037017E-04  4.846156305E-02  2.918870902E+00  1.104818201E-02  5.669697998E-01 -7.269444229E-02
  5.386346095E-03  4.774243699E+00  1.894006232E-01  4.661292800E+00  2.144235064E-04  5.235788533E-02  3.343049421E+00  1.409440230E-02  6.241794826E-01 -9.007142026E-02
  5.821614194E-03  5.160048090E+00  2.035054782E-01  5.008423967E+00  2.586225313E-04  5.634952187E-02  3.786628538E+00  1.771272543E-02  6.817389088E-01 -1.099082518E-01
  6.273332782E-03  5.560433543E+00  2.177958859E-01  5.360121725E+00  3.099205829E-04  6.042979814E-02  4.243752163E+00  2.196206255E-02  7.393367103E-01 -1.322090390E-01
  6.742122015E-03  5.975949739E+00  2.322231093E-01  5.715186619E+00  3.690172688E-04  6.458951724E-02  4.707736060E+00  2.690182322E-02  7.966832901E-01 -1.569099899E-01
  7.228625305E-03  6.407166974E+00  2.467342935E-01  6.072317854E+00  4.365730585E-04  6.881654161E-02  5.171291338E+00  3.259175382E-02  8.535081896E-01 -1.838759715E-01
  7.733510186E-03  6.854676921E+00  2.612735437E-01  6.430139815E+00  5.131914351E-04  7.309542026E-02  5.626814677E+00  3.909189103E-02  9.095573747E-01 -2.129012117E-01
